event_name,tweet_id,image_id,tweet_text,image,label,label_text,label_image,label_text_image,preprocessed_text,int_label,onehot_label,padded_sequence,multimodal_prediction
hurricane_harvey,905424197471666179,905424197471666179_0,Harvey Roy Upson â€“ Big Bouquet of Roses (Original Canadian CountryÂ Songs) https://t.co/0qoFnz8pIB https://t.co/nrAt7zNXx6,data_image/hurricane_harvey/6_9_2017/905424197471666179_0.jpg,not_informative,not_informative,not_informative,Positive,harvey roy upson big bouquet roses ( original canadian country songs ),1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 108, 1, 7652, 5456, 2571, 183, 5874]",informative
hurricane_maria,910540962836959234,910540962836959234_0,RT @cjtipado: Let's pray for our Sisters and Brothers that's in the path on Hurricane Maria https://t.co/o35bW2TlD8,data_image/hurricane_maria/20_9_2017/910540962836959234_0.jpg,not_informative,not_informative,not_informative,Positive,rt cjtipado let's pray sisters brothers that's path hurricane maria,1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 651, 274, 1939, 2804, 848, 138, 3, 9]",informative
hurricane_irma,910118951845326848,910118951845326848_0,Here's What's Open at Walt Disney World After Hurricane Irma https://t.co/2okVzZubo8 https://t.co/3Z9WbvPdps,data_image/hurricane_irma/19_9_2017/910118951845326848_0.jpg,not_informative,not_informative,not_informative,Positive,here's what's open walt disney world hurricane irma,1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 456, 379, 4418, 3419, 163, 3, 2]",informative
mexico_earthquake,912165068133031936,912165068133031936_0,Updates on Mexico Earthquakes https://t.co/FPjxBUOGvI via @mormonnewsroom https://t.co/g3AmaN39VI,data_image/mexico_earthquake/25_9_2017/912165068133031936_0.jpg,informative,informative,informative,Positive,updates mexico earthquakes via mormonnewsroom,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 413, 11, 937, 31, 10365]",informative
iraq_iran_earthquake,930023493160366080,930023493160366080_0,"#News via #FOXNEWS ""Massive earthquake leaves over 300 dead in Iraq-Iran"" https://t.co/X0JyeVet9r https://t.co/N6peehBru7",data_image/iraq_iran_earthquake/13_11_2017/930023493160366080_0.jpg,informative,informative,informative,Positive,"news via foxnews "" massive earthquake leaves dead iraq-iran """,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 31, 551, 503, 8, 371, 87, 36, 20]",informative
srilanka_floods,870135631308931073,870135631308931073_0,Mora praises performance of both side but rues losing on small margins https://t.co/RNjXazstuO https://t.co/6UoP3fj4Hc,data_image/srilanka_floods/1_6_2017/870135631308931073_0.jpg,not_informative,not_informative,not_informative,Positive,mora praises performance side rues losing small margins,1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6053, 3451, 1389, 1, 2335, 507, 1]",informative
iraq_iran_earthquake,930883171503177728,930883171503177728_0,Iran's Rohani: State-built Homes Collapsed in Earthquake Prove Government Corruption https://t.co/DRDWfardm7 https://t.co/PJ0vj8RcPh,data_image/iraq_iran_earthquake/15_11_2017/930883171503177728_0.jpg,informative,informative,informative,Positive,iran's rohani state-built homes collapsed earthquake prove government corruption,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 869, 1, 217, 1614, 136, 813, 8, 3357, 760, 3622]",informative
hurricane_maria,913428258926063616,913428258926063616_0,"Get off Our Block or Join us in Moving Forward in Recovery and Healing: Puerto Rico,â€¦ https://t.co/KD6NqoVkYr https://t.co/vYAsLv2Ppa",data_image/hurricane_maria/28_9_2017/913428258926063616_0.jpg,informative,informative,informative,Positive,get block join us moving forward recovery healing puerto rico,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 4990, 320, 29, 329, 4577, 61, 1, 6, 7]",informative
hurricane_maria,910647323260342272,910647323260342272_0,HUB clients in Puerto Rico who have been affected by Hurricane #Maria should please call 787.641.2738 for claims. https://t.co/VHUhgOZSmn,data_image/hurricane_maria/20_9_2017/910647323260342272_0.jpg,informative,informative,informative,Positive,hub clients puerto rico affected hurricane maria please call claims,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2106, 10671, 6, 7, 55, 3, 9, 62, 327, 489]",informative
hurricane_harvey,908322986192752642,908322986192752642_0,Check out some of the work Measure has done for #hurricaneharvey relief with @VerizonNews https://t.co/nPrOR8Oiyn https://t.co/UCFDRQxTRO,data_image/hurricane_harvey/14_9_2017/908322986192752642_0.jpg,informative,informative,informative,Positive,check work measure done hurricaneharvey relief verizonnews,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 71, 12687, 356, 26, 17, 1]",informative
