event_name,tweet_id,image_id,tweet_text,image,label,label_text,label_image,label_text_image,preprocessed_text,int_label,onehot_label,padded_sequence,text_transformer_prep-changed_prediction
hurricane_harvey,905424197471666179,905424197471666179_0,Harvey Roy Upson â€“ Big Bouquet of Roses (Original Canadian CountryÂ Songs) https://t.co/0qoFnz8pIB https://t.co/nrAt7zNXx6,data_image/hurricane_harvey/6_9_2017/905424197471666179_0.jpg,not_informative,not_informative,not_informative,Positive,harvey roy upson big bouquet roses ( original canadian country songs ),1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 106, 1, 7348, 5249, 2520, 183, 5660]",not_informative
hurricane_maria,910540962836959234,910540962836959234_0,RT @cjtipado: Let's pray for our Sisters and Brothers that's in the path on Hurricane Maria https://t.co/o35bW2TlD8,data_image/hurricane_maria/20_9_2017/910540962836959234_0.jpg,not_informative,not_informative,not_informative,Positive,let's pray sisters brothers that's path hurricane maria,1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 646, 273, 1905, 2745, 842, 137, 3, 8]",informative
hurricane_irma,910118951845326848,910118951845326848_0,Here's What's Open at Walt Disney World After Hurricane Irma https://t.co/2okVzZubo8 https://t.co/3Z9WbvPdps,data_image/hurricane_irma/19_9_2017/910118951845326848_0.jpg,not_informative,not_informative,not_informative,Positive,here's what's open walt disney world hurricane irma,1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 454, 379, 4294, 3344, 169, 3, 2]",informative
mexico_earthquake,912165068133031936,912165068133031936_0,Updates on Mexico Earthquakes https://t.co/FPjxBUOGvI via @mormonnewsroom https://t.co/g3AmaN39VI,data_image/mexico_earthquake/25_9_2017/912165068133031936_0.jpg,informative,informative,informative,Positive,updates mexico earthquakes via mormonnewsroom,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 10, 932, 30, 1]",not_informative
iraq_iran_earthquake,930023493160366080,930023493160366080_0,"#News via #FOXNEWS ""Massive earthquake leaves over 300 dead in Iraq-Iran"" https://t.co/X0JyeVet9r https://t.co/N6peehBru7",data_image/iraq_iran_earthquake/13_11_2017/930023493160366080_0.jpg,informative,informative,informative,Positive,"news via foxnews "" massive earthquake leaves dead iraq-iran """,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 799, 502, 7, 371, 85, 35, 19]",informative
srilanka_floods,870135631308931073,870135631308931073_0,Mora praises performance of both side but rues losing on small margins https://t.co/RNjXazstuO https://t.co/6UoP3fj4Hc,data_image/srilanka_floods/1_6_2017/870135631308931073_0.jpg,not_informative,not_informative,not_informative,Positive,mora praises performance side rues losing small margins,1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5835, 3375, 1383, 1, 2295, 506, 1]",not_informative
iraq_iran_earthquake,930883171503177728,930883171503177728_0,Iran's Rohani: State-built Homes Collapsed in Earthquake Prove Government Corruption https://t.co/DRDWfardm7 https://t.co/PJ0vj8RcPh,data_image/iraq_iran_earthquake/15_11_2017/930883171503177728_0.jpg,informative,informative,informative,Positive,iran's rohani state-built homes collapsed earthquake prove government corruption,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 863, 1, 216, 1598, 135, 805, 7, 3282, 755, 3536]",informative
hurricane_maria,913428258926063616,913428258926063616_0,"Get off Our Block or Join us in Moving Forward in Recovery and Healing: Puerto Rico,â€¦ https://t.co/KD6NqoVkYr https://t.co/vYAsLv2Ppa",data_image/hurricane_maria/28_9_2017/913428258926063616_0.jpg,informative,informative,informative,Positive,get block join us moving forward recovery healing puerto rico,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 4821, 318, 28, 327, 4448, 60, 1, 5, 6]",informative
hurricane_maria,910647323260342272,910647323260342272_0,HUB clients in Puerto Rico who have been affected by Hurricane #Maria should please call 787.641.2738 for claims. https://t.co/VHUhgOZSmn,data_image/hurricane_maria/20_9_2017/910647323260342272_0.jpg,informative,informative,informative,Positive,hub clients puerto rico affected hurricane maria please call claims,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3228, 10106, 5, 6, 54, 3, 8, 61, 325, 489]",informative
hurricane_harvey,908322986192752642,908322986192752642_0,Check out some of the work Measure has done for #hurricaneharvey relief with @VerizonNews https://t.co/nPrOR8Oiyn https://t.co/UCFDRQxTRO,data_image/hurricane_harvey/14_9_2017/908322986192752642_0.jpg,informative,informative,informative,Positive,check work measure done hurricaneharvey relief verizonnews,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 250, 70, 11945, 355, 25, 16, 1]",not_informative
california_wildfires,920153745689923584,920153745689923584_0,"#Fire #Victims Begin Long Process Of Getting FEMA Aid: https://t.co/Uj9wXMCTdq, https://t.co/Zsp8yfvd4T https://t.co/8QffMqBSC5",data_image/california_wildfires/17_10_2017/920153745689923584_0.jpg,not_informative,not_informative,not_informative,Positive,fire victims begin long process getting fema aid,1,"[0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 18, 952, 205, 1696, 248, 175, 47]",informative
hurricane_harvey,904441419523293188,904441419523293188_0,Mnuchin: Congress must raise debt ceiling while approving Harvey aid https://t.co/x6TpalUHRr #SocialMedia https://t.co/mSbgKzAeQZ,data_image/hurricane_harvey/3_9_2017/904441419523293188_0.jpg,informative,informative,informative,Positive,mnuchin congress must raise debt ceiling approving harvey aid socialmedia,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 653, 666, 405, 474, 1947, 1, 4, 47, 791]",informative
hurricane_irma,910183007637561344,910183007637561344_0,IN PICTURES: Hurricane Irma's devastation revealed by Isle of Wight businessman https://t.co/lsjmLHEVRd‚Ä¶ https://t.co/9eW80iK7i1,data_image/hurricane_irma/19_9_2017/910183007637561344_0.jpg,informative,informative,informative,Positive,pictures hurricane irma's devastation revealed isle wight businessman,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, 3, 189, 93, 1, 1, 1, 5270]",informative
hurricane_irma,905733682102767617,905733682102767617_0,"RT @orlandosentinel: Free, unlimited access to storm coverage during Hurricane Irma https://t.co/xmN14OMqiy https://t.co/OupPyRRGEk",data_image/hurricane_irma/7_9_2017/905733682102767617_0.jpg,informative,informative,informative,Positive,free unlimited access storm coverage hurricane irma,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 431, 5884, 1201, 21, 905, 3, 2]",informative
hurricane_maria,928673310052962304,928673310052962304_0,Worcester State SGA Joins in Puerto Rico Disaster Relief Effort: https://t.co/wEF8XCLvo2 #woostate #news https://t.co/vrHrxZ3KXW,data_image/hurricane_maria/9_11_2017/928673310052962304_0.jpg,informative,informative,informative,Positive,worcester state sga joins puerto rico disaster relief effort woostate news,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6270, 216, 1, 1662, 5, 6, 63, 16, 358, 1, 24]",informative
hurricane_maria,912005612099207168,912005612099207168_0,Afternoon look @ #HurricaneMaria. #NCwx #SCwx #GAwx #TropicalWx #Wx https://t.co/BTmNQy4ceH,data_image/hurricane_maria/24_9_2017/912005612099207168_0.jpg,informative,informative,informative,Positive,afternoon look hurricanemaria ncwx scwx gawx tropicalwx wx,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1861, 119, 17, 1150, 4180, 1814, 1, 2879]",informative
hurricane_maria,913430664560693275,913430664560693275_0,Maria has once again weakened into a tropical storm - https://t.co/wuvsdE1tNx https://t.co/As3EgISxuz,data_image/hurricane_maria/28_9_2017/913430664560693275_0.jpg,informative,informative,informative,Positive,maria weakened tropical storm -,0,"[1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2109, 72, 21]",informative
